gene_id	symbol
E9QPW0	Pzp
Q60628	Pzp
Q61838	Pzp
Q6PEM2	Pzp
O88816	Aanat
Q14A64	Aanat
A6BLY8	Aatk
B1AZF3	Aatk
O35211	Aatk
Q3U2U5	Aatk
Q3UHR8	Aatk
Q66JN3	Aatk
Q80YE3	Aatk
Q80YE4	Aatk
Q8CB63	Aatk
Q8CHE2	Aatk
B1AZF9	Aatk
B1AWZ8	Abca1
P41233	Abca1
O35600	Abca4
A0A0G2JGG8	Abca4
P41234	Abca2
A2AJ26	Abca2
A2AC46	Abcb7
Q3U7S8	Abcb7
Q61102	Abcb7
Q0VDW9	Abcg1
Q64343	Abcg1
J3QNK8	Abi1
Q3U8V0	Abi1
Q60747	Abi1
Q8CBW3	Abi1
Q91ZM5	Abi1
Q923I9	Abi1
Q99KH4	Abi1
Q3TMI0	Abi1
Q3TPY5	Abi1
Q3UAH6	Abi1
B7ZCU0	Abi1
B7ZCU3	Abi1
B7ZCU4	Abi1
Q3UBL3	Abi1
B7ZCU5	Abi1
B7ZCU2	Abi1
Q3TJR5	Abi1
Q3TJ64	Abi1
Q3SYK5	Abl1
P00520	Abl1
P97896	Abl1
Q61252	Abl1
Q61253	Abl1
Q61254	Abl1
Q61255	Abl1
Q61256	Abl1
Q61257	Abl1
Q61258	Abl1
Q61259	Abl1
Q61260	Abl1
Q61261	Abl1
Q6PCM5	Abl1
Q8C1X4	Abl1
B2RQ57	Abl2
B7ZMZ2	Abl2
F8VQH0	Abl2
Q4JIM5	Abl2
A0A7H1MFM8	Scgb1b27
Q91WB5	Scgb1b27
Q9WUM8	Scgb1b27
NA	ac
A0A0R4J083	Acadl
B2KGC6	Acadl
O35302	Acadl
P51174	Acadl
Q8QZR6	Acadl
Q9CU29	Acadl
Q9DB83	Acadl
P45952	Acadm
Q64235	Acadm
Q91WS8	Acadm
B1AR28	Acadvl
O35289	Acadvl
O55133	Acadvl
P50544	Acadvl
Q07417	Acads
Q91W85	Acads
Q99J27	Slc33a1
Q9WTN1	Slc33a1
Q3UYD3	Asic2
Q5SUU2	Asic2
Q61203	Asic2
Q925H0	Asic2
B2RRQ1	Asic2
Q6NXK8	Asic1
Q50K97	Asic1
Q5XK22	Ace
P09470	Ace
P22967	Ace
Q3TU20	Ace
Q3U3Q7	Ace
Q6GTS2	Ace
B9UIT4	Ache
P21836	Ache
Q543Z1	Ache
Q61268	Apoc4
B1ARU3	Macf1
B1ARU4	Macf1
E9PVY8	Macf1
P97394	Macf1
P97395	Macf1
P97396	Macf1
Q4PLL5	Macf1
Q9QXZ0	Macf1
A0A0A0MQA6	Macf1
A0A571BGC6	Macf1
Q69ZZ9	Macf1
